user_id,device_id,amount,failed_logins,location_change,is_fraud
user_47,device_145,180.73,0,0,0
user_12,device_144,1414.5,5,1,1
user_62,device_140,185.67,1,0,0
user_80,device_136,220.46,0,0,0
user_88,device_3,138.6,0,0,0
user_83,device_144,243.91,0,1,0
user_8,device_30,27.25,0,0,0
user_95,device_23,96.55,0,0,0
user_21,device_92,84.25,0,1,0
user_81,device_115,74.02,0,0,0
user_87,device_104,279.48,0,1,0
user_80,device_118,2872.52,5,1,1
user_70,device_5,114.03,0,0,0
user_72,device_104,71.1,1,0,0
user_25,device_108,299.37,0,0,0
user_82,device_65,95.44,0,0,0
user_89,device_121,251.9,0,0,0
user_12,device_30,228.49,0,0,0
user_15,device_149,232.17,0,0,0
user_59,device_84,35.7,0,0,0
user_26,device_32,128.19,0,0,0
user_26,device_16,111.16,0,0,0
user_47,device_38,284.83,0,1,0
user_32,device_142,161.55,0,0,0
user_10,device_36,155.18,0,0,0
user_16,device_114,24.57,0,0,0
user_71,device_66,95.63,0,0,0
user_17,device_105,243.01,1,0,0
user_23,device_85,272.77,0,0,0
user_26,device_2,75.55,0,1,0
user_85,device_75,185.01,0,0,0
user_86,device_67,45.65,0,0,0
user_7,device_55,140.31,0,0,0
user_14,device_6,822.99,5,1,1
user_79,device_143,2584.28,3,1,1
user_7,device_86,243.15,0,0,0
user_9,device_60,51.43,0,0,0
user_48,device_101,154.04,0,0,0
user_72,device_12,192.57,0,0,0
user_59,device_49,102.1,0,0,0
user_87,device_42,23.59,0,0,0
user_93,device_82,28.18,0,0,0
user_82,device_35,81.58,0,0,0
user_95,device_134,958.52,2,0,1
user_94,device_67,173.85,0,0,0
user_39,device_80,273.09,1,0,0
user_99,device_7,119.42,1,0,0
user_18,device_14,43.65,0,0,0
user_59,device_73,279.75,0,0,0
user_17,device_143,50.34,0,1,0
user_14,device_149,1322.63,5,1,1
user_31,device_66,285.72,0,0,0
user_24,device_91,974.14,4,1,1
user_99,device_130,299.85,0,0,0
user_60,device_20,121.68,0,0,0
user_45,device_10,999.4,5,1,1
user_98,device_25,117.25,0,0,0
user_3,device_25,130.79,0,1,0
user_37,device_54,71.48,0,0,0
user_43,device_33,265.25,0,0,0
user_40,device_95,186.25,0,0,0
user_90,device_14,198.98,0,0,0
user_55,device_65,197.0,0,0,0
user_87,device_110,67.77,0,0,0
user_39,device_80,116.66,0,0,0
user_15,device_54,159.6,0,0,0
user_4,device_125,14.26,0,0,0
user_93,device_131,15.61,0,0,0
user_86,device_134,152.93,0,0,0
user_25,device_25,3178.09,5,1,1
user_13,device_141,264.52,0,0,0
user_82,device_117,231.07,0,0,0
user_33,device_136,73.74,0,1,0
user_16,device_149,176.85,0,0,0
user_42,device_25,116.64,0,0,0
user_66,device_79,106.31,0,0,0
user_55,device_68,74.75,0,0,0
user_99,device_12,174.75,0,0,0
user_42,device_32,264.98,0,0,0
user_34,device_128,250.63,0,0,0
user_30,device_96,70.06,0,1,0
user_13,device_92,215.94,1,0,0
user_13,device_141,147.29,0,0,0
user_18,device_31,178.84,1,0,0
user_32,device_78,163.91,0,0,0
user_96,device_20,172.78,0,0,0
user_99,device_146,220.43,0,1,0
user_39,device_60,255.69,0,0,0
user_46,device_134,294.68,0,1,0
user_29,device_93,57.53,0,0,0
user_62,device_43,284.74,0,0,0
user_93,device_130,166.26,0,0,0
user_62,device_60,210.13,1,0,0
user_57,device_31,76.77,0,0,0
user_16,device_5,97.56,0,0,0
user_56,device_10,285.23,1,0,0
user_10,device_89,279.31,0,0,0
user_30,device_130,62.29,0,0,0
user_25,device_126,260.55,0,1,0
user_84,device_11,205.56,0,1,0
user_5,device_56,162.9,0,0,0
user_65,device_83,41.58,0,0,0
user_94,device_137,127.94,1,0,0
user_49,device_99,73.54,0,1,0
user_3,device_149,1292.43,3,1,1
user_45,device_73,294.54,0,0,0
user_14,device_115,273.29,1,1,0
user_30,device_7,161.22,1,0,0
user_68,device_80,56.88,0,0,0
user_18,device_144,81.73,0,0,0
user_62,device_97,57.18,0,0,0
user_37,device_4,154.68,0,0,0
user_25,device_4,2106.63,5,1,1
user_48,device_103,243.38,0,0,0
user_65,device_40,61.59,0,0,0
user_53,device_17,83.61,0,0,0
user_79,device_101,269.45,0,1,0
user_73,device_103,54.6,1,1,0
user_15,device_124,153.46,0,0,0
user_49,device_52,194.28,0,0,0
user_88,device_52,26.73,0,0,0
user_68,device_124,190.39,1,0,0
user_12,device_63,176.41,0,0,0
user_59,device_116,271.65,0,1,0
user_37,device_62,17.98,0,0,0
user_61,device_7,76.32,1,0,0
user_43,device_92,207.07,0,0,0
user_70,device_14,218.56,0,0,0
user_39,device_86,104.64,0,0,0
user_56,device_133,134.73,1,0,0
user_63,device_130,126.27,0,0,0
user_46,device_62,267.78,0,0,0
user_88,device_149,84.04,0,0,0
user_11,device_79,19.51,0,0,0
user_62,device_149,1828.59,4,1,1
user_77,device_138,128.73,0,0,0
user_98,device_58,106.34,0,0,0
user_25,device_120,199.85,0,1,0
user_71,device_133,166.34,0,0,0
user_52,device_65,669.07,3,1,1
user_4,device_13,2894.1,2,1,1
user_59,device_82,161.53,0,1,0
user_72,device_139,75.58,0,0,0
user_20,device_149,76.82,0,0,0
user_93,device_52,290.39,0,0,0
user_63,device_117,225.15,0,0,0
user_54,device_26,97.85,0,0,0
user_74,device_34,246.87,0,0,0
user_98,device_52,271.56,0,1,0
user_57,device_112,228.73,0,0,0
user_90,device_82,3474.56,4,1,1
user_41,device_42,228.61,0,0,0
user_3,device_21,160.1,0,0,0
user_6,device_42,149.74,0,1,0
user_5,device_141,3344.72,4,1,1
user_5,device_113,39.73,0,0,0
user_54,device_105,117.09,1,0,0
user_47,device_17,212.19,0,0,0
user_87,device_120,277.09,0,0,0
user_49,device_137,259.89,0,0,0
user_9,device_129,66.62,0,0,0
user_99,device_130,293.77,0,0,0
user_20,device_60,220.85,0,1,0
user_61,device_48,153.92,0,0,0
user_35,device_29,238.0,0,0,0
user_50,device_97,17.31,0,0,0
user_82,device_10,214.07,1,0,0
user_62,device_58,78.14,0,0,0
user_17,device_21,168.46,1,0,0
user_88,device_28,156.39,0,1,0
user_3,device_34,61.98,0,0,0
user_32,device_8,125.0,0,1,0
user_99,device_79,55.61,0,0,0
user_13,device_145,262.71,0,0,0
user_89,device_87,82.64,0,0,0
user_73,device_88,251.52,1,0,0
user_68,device_69,205.47,0,0,0
user_14,device_87,93.41,0,0,0
user_98,device_101,3295.82,2,1,1
user_11,device_8,264.62,0,0,0
user_56,device_77,113.2,0,0,0
user_67,device_87,206.49,0,0,0
user_92,device_43,2216.48,2,1,1
user_29,device_129,204.73,0,0,0
user_9,device_109,131.32,0,0,0
user_67,device_17,90.58,0,0,0
user_25,device_133,294.31,0,0,0
user_98,device_148,62.02,1,0,0
user_76,device_21,127.04,0,0,0
user_42,device_58,132.59,0,0,0
user_9,device_110,86.64,0,0,0
user_79,device_139,87.87,0,0,0
user_40,device_143,4858.42,4,1,1
user_25,device_135,59.91,1,0,0
user_5,device_28,134.81,0,0,0
user_11,device_51,36.71,0,0,0
user_59,device_5,214.1,0,0,0
user_98,device_5,140.7,0,0,0
user_88,device_94,162.47,0,0,0
user_79,device_96,60.48,0,0,0
user_38,device_8,187.55,0,1,0
user_72,device_64,11.94,0,0,0
user_5,device_138,118.33,0,0,0
user_48,device_38,121.83,1,0,0
user_90,device_111,282.5,0,0,0
user_18,device_112,189.0,0,0,0
user_70,device_81,202.85,0,0,0
user_37,device_136,104.84,0,0,0
user_60,device_104,244.08,0,0,0
user_48,device_73,158.69,0,1,0
user_77,device_49,76.46,0,0,0
user_28,device_36,213.25,0,0,0
user_69,device_126,247.33,0,1,0
user_77,device_68,18.56,0,0,0
user_81,device_78,32.37,1,0,0
user_40,device_105,133.18,0,0,0
user_45,device_122,182.49,0,0,0
user_96,device_119,266.64,0,0,0
user_62,device_114,92.16,0,0,0
user_93,device_10,158.95,0,1,0
user_58,device_149,94.53,0,0,0
user_67,device_140,69.8,0,0,0
user_56,device_91,260.91,1,1,0
user_40,device_2,20.15,0,0,0
user_98,device_118,263.38,0,0,0
user_40,device_13,154.84,0,0,0
user_91,device_95,4027.94,3,1,1
user_77,device_144,94.79,0,0,0
user_33,device_32,97.3,0,0,0
user_6,device_32,152.42,1,0,0
user_88,device_124,231.69,0,0,0
